image_id,magazine_id,image_number,in_out,explicit,symbol,weapon,gruesome,narrative,strength,caption
D7_23,D7,23,0,0,8,0,0,0,0,1
D7_24,D7,24,1,1,5,1,0,7,1,1
D7_25,D7,25,1,0,0,0,0,0,0,1
D7_26,D7,26,0,0,8,1,0,4,1,1
D7_27,D7,27,0,0,0,1,0,1,0,0
D7_28,D7,28,0,0,0,0,0,3,1,1
D7_29,D7,29,0,0,2,1,0,7,1,1
D7_30,D7,30,0,0,2,1,0,0,0,1
D7_31,D7,31,0,0,2,1,0,7,0,1
D7_32,D7,32,0,0,2,0,0,0,0,1
D7_33,D7,33,0,0,2,0,0,3,1,1
D7_34,D7,34,-99,-99,0,1,0,0,0,0
D7_35,D7,35,0,0,0,0,0,0,0,1
D7_36,D7,36,0,0,0,0,0,0,0,1
D7_37,D7,37,1,0,0,1,0,7,1,1
D7_38,D7,38,1,0,0,0,0,4,2,1
D7_39,D7,39,0,0,2,1,0,7,1,1
D7_40,D7,40,0,0,0,0,0,7,2,1
D7_41,D7,41,1,0,0,0,1,4,2,0
D7_42,D7,42,1,0,0,0,0,4,2,1
D7_43,D7,43,0,0,0,0,1,4,2,1
D7_44,D7,44,0,0,0,0,1,4,2,1
D7_45,D7,45,0,0,2,1,0,7,1,0
D7_46,D7,46,0,0,2,0,0,0,0,0
D7_47,D7,47,0,0,0,0,0,0,0,0
D7_48,D7,48,0,0,0,0,1,7,0,1
D7_49,D7,49,0,0,0,1,0,3,0,1
D7_50,D7,50,0,0,0,0,1,0,0,0
D7_51,D7,51,0,0,0,1,0,0,0,1
D7_52,D7,52,1,0,0,0,0,0,0,1
D7_53,D7,53,1,0,0,0,0,6,1,1
D7_54,D7,54,1,0,0,0,0,6,2,1
D7_55,D7,55,1,0,0,0,0,7,2,1
D7_56,D7,56,1,0,0,0,0,7,2,1
D7_57,D7,57,1,0,0,0,0,4,2,1
D7_58,D7,58,1,0,0,0,0,1,1,1
D7_59,D7,59,1,0,0,0,0,1,1,1
D7_60,D7,60,1,0,0,0,0,6,1,1
D7_61,D7,61,1,0,0,0,0,6,1,1
D7_62,D7,62,1,0,0,0,0,0,1,1
D7_63,D7,63,1,0,0,0,0,0,1,1
D7_64,D7,64,1,0,0,0,1,4,2,1
D7_65,D7,65,1,0,8,0,0,0,0,0
D7_66,D7,66,1,0,0,1,0,8,1,0
D7_67,D7,67,1,0,0,0,0,6,2,0
D7_68,D7,68,1,0,0,0,0,5,1,0
D7_69,D7,69,0,0,0,0,1,5,2,0
D7_70,D7,70,0,0,0,0,0,0,0,0
D7_71,D7,71,0,0,2,0,0,0,0,0
D7_72,D7,72,0,0,0,0,0,0,0,0
D7_73,D7,73,-99,-99,0,1,0,7,1,1
D7_74,D7,74,0,0,2,1,0,7,1,0
D7_75,D7,75,0,0,2,1,0,0,0,0
D7_76,D7,76,0,0,2,0,0,0,0,1
D7_77,D7,77,0,0,0,0,0,3,0,1
D7_78,D7,78,1,0,0,0,0,5,1,1
D7_79,D7,79,1,0,0,0,0,0,0,1
D7_80,D7,80,1,0,0,0,0,0,0,1
D7_81,D7,81,1,0,0,1,0,0,0,1
D7_82,D7,82,1,0,0,0,0,0,0,0
D7_83,D7,83,-99,-99,0,0,0,0,0,0
D7_84,D7,84,1,0,0,0,0,0,0,0
D7_85,D7,85,0,0,5,0,0,2,1,0
D7_86,D7,86,0,0,0,0,0,0,0,0
D7_87,D7,87,-99,-99,0,0,0,2,1,0
