"image","magazine_id","time","image_number","in_out","explicit","symbol","weapon","gruesome","narrative","strength","caption","outgroup","ingroup","crisis","solution","jihad","utopia","punish","unity","outplot","sinful","victim","occupy"
"D4_4","D4",4,4,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"D4_5","D4",4,5,0,0,2,1,0,7,1,0,0,1,0,1,1,0,0,0,0,0,0,0
"D4_6","D4",4,6,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"D4_7","D4",4,7,0,0,0,1,0,4,1,1,0,1,0,1,0,0,1,0,0,0,0,0
"D4_8","D4",4,8,1,0,0,1,0,5,1,0,1,0,1,0,0,0,0,0,0,0,1,0
"D4_9","D4",4,9,1,0,0,0,0,6,1,0,1,0,1,0,0,0,0,0,1,0,0,0
"D4_10","D4",4,10,1,0,0,0,0,8,1,0,1,0,1,0,0,0,0,0,0,0,0,1
"D4_11","D4",4,11,1,0,0,1,0,8,1,0,1,0,1,0,0,0,0,0,0,0,0,1
"D4_12","D4",4,12,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"D4_13","D4",4,13,0,0,0,1,0,7,1,0,0,1,0,1,1,0,0,0,0,0,0,0
"D4_14","D4",4,14,-99,-99,0,1,0,7,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"D4_15","D4",4,15,-99,-99,0,1,0,7,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"D4_16","D4",4,16,-99,-99,0,1,0,7,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"D4_17","D4",4,17,-99,-99,0,1,0,7,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"D4_18","D4",4,18,-99,-99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D4_19","D4",4,19,0,0,2,1,0,7,1,1,0,1,0,1,1,0,0,0,0,0,0,0
"D4_20","D4",4,20,1,0,0,0,0,3,1,1,1,0,0,1,0,0,0,1,0,0,0,0
"D4_21","D4",4,21,0,0,0,1,0,7,1,0,0,1,0,1,1,0,0,0,0,0,0,0
"D4_22","D4",4,22,0,0,2,1,0,7,1,1,0,1,0,1,1,0,0,0,0,0,0,0
"D4_23","D4",4,23,0,0,0,0,0,2,1,1,0,1,0,1,0,1,0,0,0,0,0,0
"D4_24","D4",4,24,0,0,0,1,0,2,1,1,0,1,0,1,0,1,0,0,0,0,0,0
"D4_25","D4",4,25,0,0,0,0,0,2,2,1,0,1,0,1,0,1,0,0,0,0,0,0
"D4_26","D4",4,26,0,0,0,1,0,7,2,1,0,1,0,1,1,0,0,0,0,0,0,0
"D4_27","D4",4,27,0,0,0,1,0,7,2,1,0,1,0,1,1,0,0,0,0,0,0,0
"D4_28","D4",4,28,0,0,0,1,0,7,2,1,0,1,0,1,1,0,0,0,0,0,0,0
"D4_29","D4",4,29,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"D4_30","D4",4,30,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"D4_31","D4",4,31,0,0,2,0,0,3,1,1,0,1,0,1,0,0,0,1,0,0,0,0
"D4_32","D4",4,32,0,0,0,0,0,3,1,0,0,1,0,1,0,0,0,1,0,0,0,0
"D4_33","D4",4,33,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"D4_34","D4",4,34,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"D4_35","D4",4,35,1,0,0,0,0,7,1,1,1,0,0,1,1,0,0,0,0,0,0,0
"D4_36","D4",4,36,1,0,0,0,0,4,1,1,1,0,0,1,0,0,1,0,0,0,0,0
"D4_37","D4",4,37,-99,-99,0,1,0,7,1,1,0,0,0,1,1,0,0,0,0,0,0,0
"D4_38","D4",4,38,1,0,0,0,1,4,2,0,1,0,0,1,0,0,1,0,0,0,0,0
"D4_39","D4",4,39,0,0,0,1,0,7,2,1,0,1,0,1,1,0,0,0,0,0,0,0
"D4_40","D4",4,40,0,0,0,0,0,7,2,1,0,1,0,1,1,0,0,0,0,0,0,0
"D4_41","D4",4,41,0,0,0,0,0,7,2,1,0,1,0,1,1,0,0,0,0,0,0,0
"D4_42","D4",4,42,1,0,0,1,1,4,2,1,1,0,0,1,0,0,1,0,0,0,0,0
"D4_43","D4",4,43,1,0,0,0,1,4,2,1,1,0,0,1,0,0,1,0,0,0,0,0
